song_name;song_popularity;song_duration_ms;acousticness;danceability;energy;key;liveness;audio_mode;speechiness;tempo;time_signature;audio_valence
Real Friends;85;223583;0.235;0.701;0.512;0;0.135;0;0.0969;91.947;4;0.6629999999999999
Pa La Calle;61;243487;0.11699999999999999;0.695;0.884;0;0.10400000000000001;1;0.131;74.992;4;0.8540000000000001
Pa MÃ­;58;210865;0.716;0.722;0.584;11;0.115;0;0.318;16.997.799.999.999.900;4;0.6459999999999999
Wake Up in the Sky;92;204664;0.00381;0.8;0.578;4;0.359;0;0.0485;143.01;4;0.36700000000000005
EstÃ¡ Rico;83;215151;0.266;0.8170000000000001;0.74;11;0.0992;0;0.28300000000000003;130.04;4;0.674
Banana Clip - Spanish Version;57;202373;0.107;0.39799999999999996;0.66;1;0.121;0;0.12;8.382.799.999.999.990;4;0.7190000000000001
YAKWTFGO (feat. Kali Uchis);44;162733;0.0039700000000000004;0.812;0.748;5;0.174;0;0.139;132.035;4;0.158
Come With Me;47;157461;0.0526;0.659;0.7340000000000001;10;0.242;1;0.046;161.971;4;0.34600000000000003
Como Si Na;54;170997;0.23199999999999998;0.705;0.778;9;0.244;0;0.177;160.099;4;0.7090000000000001
Blah;47;188440;0.0255;0.723;0.687;11;0.124;0;0.2;173.747;4;0.777
Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam);64;253714;0.0257;0.9279999999999999;0.402;8;0.0804;0;0.451;139.998;4;0.62
Mi Infinita;56;272000;0.902;0.465;0.675;10;0.11;1;0.0485;119.941;4;0.129
Coqueta;49;174000;0.5710000000000001;0.632;0.652;4;0.19399999999999998;1;0.0302;115.031;4;0.594
Sola;65;209573;0.9209999999999999;0.47100000000000003;0.179;9;0.10099999999999999;1;0.08900000000000001;174.273;4;0.19399999999999998
Nuestro Planeta (feat. Reykon);52;202754;0.0857;0.871;0.545;0;0.0756;0;0.0625;96.035;4;0.415
Hijo de Su Madre;61;178009;0.0646;0.8290000000000001;0.606;5;0.281;1;0.149;118.051;4;0.732
Lento;65;169251;0.149;0.8370000000000001;0.649;11;0.10300000000000001;0;0.192;164.002;4;0.948
Dicen;77;220826;0.13699999999999998;0.8170000000000001;0.635;5;0.245;0;0.138;103.029;4;0.777
BEBE;95;217822;0.172;0.635;0.902;0;0.125;1;0.109;10.206.299.999.999.900;4;0.28600000000000003
I Like It;95;253390;0.099;0.816;0.726;5;0.37200000000000005;0;0.129;136.048;4;0.65
Zooted (feat. French Montana & Farruko);74;217652;0.267;0.815;0.626;6;0.275;1;0.10300000000000001;10.998.899.999.999.900;4;0.5710000000000001
Havana - Remix;77;199095;0.39799999999999996;0.7509999999999999;0.579;2;0.133;1;0.0321;105.031;4;0.349
Pum Pum;45;185743;0.0749;0.736;0.9059999999999999;4;0.12;0;0.0566;9.301.299.999.999.990;4;0.611
Quiero Saber;52;166253;0.00245;0.695;0.818;6;0.305;0;0.0482;102.976;4;0.599
Como;38;234373;0.00323;0.5429999999999999;0.847;9;0.0551;1;0.0659;92.046;4;0.65
Anywhere Contigo;46;193846;0.271;0.841;0.841;9;0.10800000000000001;1;0.0633;104.01;4;0.823
No Gratis;44;208800;0.425;0.777;0.546;7;0.0809;1;0.207;147.173;4;0.9520000000000001
DÃ­ganle - Tainy Remix;75;211437;0.102;0.84;0.789;1;0.309;0;0.0949;9.201.799.999.999.990;4;0.619
Sangria Wine;75;202853;0.18100000000000002;0.831;0.713;1;0.0572;0;0.094;132.109;4;0.69
All Day;45;198386;0.0797;0.825;0.48100000000000004;2;0.239;1;0.0396;121.046;4;0.7609999999999999
Just As I Am;53;224413;0.235;0.682;0.7509999999999999;8;0.11;0;0.0675;129.937;4;0.708
Nice & Slow;38;218448;0.006940000000000001;0.799;0.616;5;0.28300000000000003;0;0.0415;127.023;4;0.6970000000000001
Scooby Doo Pa Pa (Remix);60;176702;0.196;0.9209999999999999;0.965;1;0.32299999999999995;1;0.17800000000000002;120.902;4;0.507
Don't Werk;39;133120;0.10800000000000001;0.703;0.617;7;0.271;1;0.0731;12.315.899.999.999.900;4;0.435
1;2; 3 (feat. Jason Derulo & De La Ghetto);88;201526;0.165;0.895;0.0;0.0501;-3.112;0;0.0589;9.496.799.999.999.990
Pa Mi (with Ozuna);77;216689;0.0983;0.596;0.557;1;0.0565;0;0.134;133.247;5;0.6609999999999999
Lo Siento;68;226183;0.0705;0.746;0.738;9;0.043;1;0.207;9.480.799.999.999.990;4;0.63
Nuestra Cancion Pt. 2 (feat. ArcÃ¡ngel);46;215003;0.0079;0.493;0.825;8;0.129;1;0.0798;99.866;4;0.621
La Hora Loca;44;175239;0.0429;0.836;0.725;7;0.10800000000000001;0;0.0571;126.035;4;0.76
Dinero - English Version;37;161093;0.00436;0.701;0.779;11;0.121;0;0.0647;11.997.399.999.999.900;4;0.451
Pum Pum (feat. Kap G & Play-N-Skillz);53;182224;0.149;0.871;0.563;10;0.0568;0;0.0795;9.199.799.999.999.990;4;0.62
Hora Loca;65;215421;0.0507;0.65;0.8009999999999999;7;0.0645;0;0.0723;166.16;4;0.74
Better With You;68;196018;0.265;0.784;0.43700000000000006;5;0.126;1;0.0509;9.000.299.999.999.990;4;0.47
NIGHTS LIKE THESE;59;204453;0.133;0.494;0.7290000000000001;2;0.14300000000000002;1;0.161;78.833;4;0.42100000000000004
Alright;43;229038;0.0199;0.561;0.58;5;0.0619;1;0.0414;84.98;4;0.294
Insecure;53;191906;0.369;0.483;0.685;10;0.0817;0;0.174;185.502;4;0.546
Si Una Vez - (If I Once)[Spanglish Version];54;237860;0.0762;0.62;0.823;5;0.11199999999999999;1;0.0567;175.921;4;0.40399999999999997
Finesse (Remix) [feat. Cardi B];84;217288;0.0185;0.7040000000000001;0.8590000000000001;5;0.0215;0;0.0996;105.115;4;0.9259999999999999
Belong To U;44;202574;0.586;0.633;0.765;1;0.0966;1;0.0474;100.934;4;0.489
Sunny Daze;40;167823;0.569;0.853;0.7140000000000001;7;0.0716;1;0.0767;92.375;4;0.836
Uno MÃ¡s Feat. Pharrell Williams; Miguel; Wiz Khalifa; J Alvarez (Remix);41;241135;0.8;0.8370000000000001;7;0.0699;-4.488;1;0.099
Island;37;194011;0.11800000000000001;0.743;0.7929999999999999;2;0.22699999999999998;0;0.0546;109.921;4;0.434
Crazy In Love;79;236133;0.00249;0.6459999999999999;0.77;2;0.0715;0;0.226;99.165;4;0.6809999999999999
Rock Your Body;74;267266;0.20199999999999999;0.8909999999999999;0.7140000000000001;4;0.0521;0;0.14;10.097.200.000.000.000;4;0.818
Beautiful Girls;10;241933;0.159;0.745;0.6659999999999999;9;0.302;1;0.0566;129.995;4;0.708
Toxic;60;198813;0.0279;0.774;0.847;5;0.24100000000000002;0;0.121;143.011;4;0.9229999999999999
Michael Jackson x Mark Ronson: Diamonds are Invincible;70;300026;0.342;0.672;0.8320000000000001;11;0.242;0;0.342;11.729.799.999.999.900;4;0.5489999999999999
Yeah!;79;250373;0.0183;0.894;0.7909999999999999;2;0.0388;1;0.11199999999999999;10.501.799.999.999.900;4;0.583
Live Your Life (feat. Rihanna);76;338853;0.071;0.375;0.862;11;0.21100000000000002;0;0.255;159.841;4;0.478
Hips Don't Lie;84;218093;0.284;0.778;0.8240000000000001;10;0.405;0;0.0712;100.024;4;0.7559999999999999
Hey; Soul Sister;77;216666;0.217;0.675;0.0;1;-44.319.999.999.999.900;0;0.0436;97.03;4
Pumped Up Kicks;84;239600;0.145;0.733;0.71;5;0.0956;0;0.0292;127.975;4;0.965
Love Never Felt so Good;74;246026;0.132;0.775;0.7190000000000001;7;0.0662;0;0.0435;11.751.299.999.999.900;4;0.7120000000000001
Hall of Fame;73;202533;0.0653;0.42100000000000004;0.873;10;0.12300000000000001;1;0.0565;84.803;4;0.63
All of Me;85;269560;0.922;0.42200000000000004;0.264;8;0.132;1;0.0322;119.93;4;0.331
Drops of Jupiter;78;259933;0.154;0.46799999999999997;0.64;0;0.154;1;0.0275;79.297;4;0.499
We Can't Stop;78;231240;0.00882;0.613;0.622;1;0.37;0;0.0334;80.003;4;0.484
Fighter;69;245960;0.235;0.435;0.92;4;0.552;0;0.201;188.899;4;0.45
Since U Been Gone;75;188960;0.00165;0.662;0.741;0;0.114;1;0.0334;131.0;4;0.40399999999999997
Hey Ya! - Radio Mix / Club Mix;76;235213;0.10300000000000001;0.728;0.9740000000000001;4;0.175;0;0.0665;7.952.600.000.000.000;4;0.965
TiK ToK;71;199693;0.0746;0.755;0.8320000000000001;2;0.29100000000000004;0;0.11599999999999999;12.003.200.000.000.000;4;0.735
Look At Me Now;71;223933;0.0439;0.764;0.6940000000000001;11;0.18;0;0.18899999999999997;146.075;4;0.581
SexyBack;77;242733;0.0584;0.9670000000000001;0.583;7;0.0519;0;0.0789;117.0;4;0.9640000000000001
With You;69;252160;0.14300000000000002;0.659;0.696;3;0.13;1;0.071;86.001;4;0.665
Breakeven;76;261426;0.17300000000000001;0.63;0.698;10;0.0789;1;0.0244;94.023;4;0.529
I Know You Want Me (Calle Ocho);65;237120;0.0142;0.8240000000000001;0.743;2;0.237;1;0.141;127.046;4;0.804
Bye Bye Bye;73;200400;0.031;0.61;0.9259999999999999;8;0.0821;0;0.0479;172.638;4;0.861
Complicated;77;244506;0.0572;0.585;0.7759999999999999;5;0.3;1;0.0459;77.987;4;0.42700000000000005
Let Me Love You;80;256733;0.235;0.6559999999999999;0.578;7;0.11800000000000001;0;0.0922;94.514;4;0.556
Beautiful;73;238560;0.578;0.457;0.573;5;0.114;0;0.0275;76.193;4;0.0992
Raise Your Glass;54;203306;0.00611;0.701;0.7;7;0.0295;1;0.0876;122.035;4;0.625
Timber;75;204160;0.0295;0.581;0.963;11;0.139;1;0.0981;12.999.200.000.000.000;4;0.7879999999999999
What Makes You Beautiful;69;198053;0.00761;0.7290000000000001;0.7709999999999999;4;0.087;1;0.0725;12.501.100.000.000.000;4;0.873
No One;79;253813;0.03;0.649;0.552;1;0.111;0;0.0292;89.969;4;0.158
Sk8er Boi;67;204000;6,79E+10;0.48700000000000004;0.9;0;0.358;1;0.0482;149.937;4;0.484
Womanizer;76;224400;0.073;0.7240000000000001;0.695;11;0.0889;1;0.0622;139.0;4;0.235
Give Me Everything;75;252306;0.192;0.6709999999999999;0.9390000000000001;8;0.298;1;0.161;129.023;4;0.529
Single Ladies (Put a Ring on It);72;193213;0.0383;0.426;0.584;1;0.188;1;0.29600000000000004;193.437;4;0.272
Bleeding Love;81;262466;0.188;0.638;0.6559999999999999;5;0.146;1;0.0357;104.036;4;0.225
Lose My Breath;63;242013;0.00727;0.8140000000000001;0.899;1;0.0979;1;0.0637;11.901.100.000.000.000;4;0.545
Love Song;77;258826;0.0208;0.583;0.7859999999999999;2;0.188;0;0.0301;123.052;4;0.573
Ms. Jackson;78;270506;0.142;0.843;0.805;4;0.0771;0;0.26899999999999996;94.946;4;0.615
Die Young;72;211920;0.00498;0.711;0.7;1;0.215;0;0.046;128.001;4;0.8009999999999999
Survivor;62;254040;0.0533;0.524;0.904;8;0.7759999999999999;1;0.39799999999999996;161.188;4;0.655
Oops!...I Did It Again;77;211160;0.3;0.7509999999999999;0.8340000000000001;1;0.355;0;0.0437;95.053;4;0.894
Cry Me a River;77;288333;0.575;0.624;0.653;8;0.10400000000000001;0;0.17600000000000002;73.884;4;0.565
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit;77;248413;0.0426;0.794;0.8109999999999999;6;0.10099999999999999;0;0.038;11.604.700.000.000.000;4;0.862
Whatever You Like;75;249533;0.0161;0.68;0.687;9;0.261;0;0.0709;150.053;4;0.467
One; Two Step;78;203786;0.042;0.9440000000000001;0.00107;5;-10.96;0;0.161;113.046;4
Unwritten;77;259333;0.00577;0.706;0.8009999999999999;5;0.0822;1;0.0399;10.001.299.999.999.900;4;0.63
Wrecking Ball;74;221360;0.40700000000000003;0.53;0.42200000000000004;5;0.107;1;0.0342;119.964;4;0.349
So What;65;215160;0.000304;0.535;0.8859999999999999;11;0.257;1;0.045;126.012;4;0.445
Whenever; Wherever;76;196160;0.23600000000000002;0.7929999999999999;1.12e-05;1;-4.862;0;0.0406;107.661;4
Baby Boy;69;244826;0.0825;0.655;0.488;1;0.221;1;0.22;91.025;4;0.7909999999999999
It's Gonna Be Me;67;192426;0.0407;0.636;0.873;0;0.0372;0;0.071;165.071;4;0.9079999999999999
My Boo;77;223440;0.257;0.662;0.507;5;0.0465;1;0.11800000000000001;86.412;4;0.6759999999999999
Sex on Fire;81;203346;0.00172;0.542;0.905;9;0.136;1;0.054000000000000006;153.398;4;0.374
Stronger (What Doesn't Kill You);52;221920;0.0411;0.555;0.9229999999999999;0;0.11199999999999999;1;0.0482;116.012;4;0.682
Over My Head (Cable Car);60;236373;0.0204;0.591;0.6990000000000001;8;0.0614;1;0.0449;116.029;4;0.733
For the First Time;65;252853;0.0328;0.396;0.629;9;0.183;1;0.0287;173.794;4;0.358
Girlfriend;69;216600;0.0007379999999999999;0.56;0.9590000000000001;7;0.209;1;0.102;163.983;4;0.67
Fallin';76;210200;0.263;0.653;0.609;11;0.233;0;0.037000000000000005;9.598.200.000.000.000;3;0.48200000000000004
Use Somebody;79;230760;0.005520000000000001;0.276;0.715;0;0.201;1;0.0432;137.028;4;0.17300000000000001
How to Save a Life;83;262533;0.26899999999999996;0.64;0.743;10;0.10099999999999999;1;0.0379;122.035;4;0.361
Not Over You;69;218520;0.255;0.63;0.894;10;0.18100000000000002;1;0.0544;14.205.100.000.000.000;4;0.364
Before He Cheats;73;199946;0.271;0.519;0.7490000000000001;6;0.11900000000000001;0;0.0405;147.905;4;0.29
Dirrty (feat. Redman);72;298853;0.107;0.64;0.889;2;0.33899999999999997;1;0.322;99.931;4;0.436
Caught Up;31;224946;0.0251;0.815;0.8079999999999999;6;0.12;1;0.0511;11.006.299.999.999.900;4;0.746
If I Ain't Got You;81;228706;0.603;0.609;0.445;7;0.10400000000000001;1;0.106;11.839.299.999.999.900;3;0.166
Wherever You Will Go;67;209360;0.0392;0.551;0.696;2;0.127;1;0.0265;112.024;4;0.354
You Found Me;76;241853;0.0187;0.33799999999999997;0.8029999999999999;8;0.136;0;0.0413;151.994;4;0.4
Independent Women; Pt. 1;63;221626;0.38799999999999996;0.517;2.22e-06;6;-37.510.000.000.000.000;0;0.263;9.693.299.999.999.990;4
Because of You;75;219493;0.254;0.583;0.584;5;0.12300000000000001;0;0.0314;140.039;4;0.136
Get The Party Started;67;191666;0.0012699999999999999;0.8059999999999999;0.902;11;0.212;0;0.0475;12.894.299.999.999.900;4;0.961
The Anthem;73;175093;0.006659999999999999;0.494;0.9390000000000001;1;0.139;1;0.126;17.775.099.999.999.900;4;0.893
I Don't Want to Be;63;217760;0.007909999999999999;0.423;0.862;0;0.133;0;0.0695;154.746;4;0.462
The Way You Move (feat. Sleepy Brown) - Club Mix;68;234000;0.126;0.871;0.597;5;0.0638;0;0.0464;125.999;4;0.635
Better in Time;73;234173;0.512;0.584;0.7;6;0.13;1;0.0506;163.953;4;0.5489999999999999
Over You;64;204853;0.017;0.423;0.922;3;0.102;1;0.0411;156.063;4;0.5670000000000001
The Great Escape;67;206520;0.0016600000000000002;0.423;0.94;1;0.17800000000000002;0;0.0635;149.934;4;0.505
Your Body Is a Wonderland;78;249626;0.0206;0.647;0.7290000000000001;5;0.134;1;0.0236;94.01;4;0.687
Superman (It's Not Easy);48;222000;0.327;0.521;0.431;0;0.0986;1;0.0293;106.546;4;0.18100000000000002
Vivir Mi Vida;68;251160;0.324;0.65;0.879;8;0.376;1;0.0328;105.015;4;0.899
La Vida Es Un Carnaval;24;275253;0.439;0.82;0.7170000000000001;8;0.23600000000000002;1;0.0722;104.005;4;0.843
Lambada - Original Version 1989;67;207466;0.21100000000000002;0.7559999999999999;0.8;5;0.047;1;0.0329;118.921;4;0.9670000000000001
La Camisa Negra;29;216706;0.0838;0.7509999999999999;0.731;6;0.0556;0;0.0308;97.007;4;0.973
La Gota FrÃ­a;66;215493;0.0893;0.7190000000000001;0.809;1;0.183;1;0.0511;100.839;4;0.9640000000000001
Suavemente;63;267000;0.254;0.8109999999999999;0.88;8;0.0475;1;0.0628;124.12;4;0.915
Bailando - Spanish Version;71;243413;0.0426;0.723;0.777;7;0.0451;1;0.10800000000000001;9.101.700.000.000.000;4;0.961
Danza Kuduro;71;198786;0.078;0.6990000000000001;0.917;0;0.065;1;0.115;130.04;4;0.889
Conga;59;252933;0.141;0.782;0.8740000000000001;2;0.11199999999999999;1;0.0474;123.179;4;0.8590000000000001
La Bilirrubina - En Vivo Estadio OlÃ­mpico De RepÃºblica Dominicana/2012;66;232880;0.622;0.585;0.977;1;0.32799999999999996;1;0.0615;138.264;4;0.8009999999999999
Guantanamera;58;199316;0.833;0.7440000000000001;0.601;10;0.131;1;0.0349;143.542;4;0.905
El Matador;11;277600;0.0306;0.5660000000000001;0.9109999999999999;4;0.0574;0;0.0791;19.353.799.999.999.900;4;0.638
Amor Prohibido;61;164120;0.455;0.5479999999999999;0.688;7;0.07200000000000001;1;0.0372;179.842;4;0.813
Hips Don't Lie;84;218093;0.284;0.778;0.8240000000000001;10;0.405;0;0.0712;100.024;4;0.7559999999999999
Mi Gente;77;189440;0.0179;0.774;0.687;11;0.128;0;0.0584;104.959;4;0.308
Obsesion;74;254720;0.419;0.8029999999999999;0.56;1;0.0608;0;0.0398;133.679;4;0.77
Let's Get Loud;70;239400;0.135;0.82;0.937;5;0.35;0;0.0551;130.993;4;0.9059999999999999
Oye Como Va;56;272546;0.743;0.696;0.728;7;0.0835;1;0.034;12.409.200.000.000.000;4;0.963
Despacito (Featuring Daddy Yankee);80;228200;0.20800000000000002;0.659;0.802;2;0.12300000000000001;1;0.14800000000000002;17.793.599.999.999.900;4;0.863
Bamboleo;54;203173;0.414;0.6709999999999999;0.884;6;0.0701;0;0.0586;119.574;4;0.9329999999999999
Pedro Navaja;60;443480;0.779;0.5820000000000001;0.61;11;0.267;0;0.10300000000000001;9.365.799.999.999.990;4;0.826
Gasolina;77;192600;0.332;0.857;0.8009999999999999;0;0.0789;1;0.0618;96.009;4;0.753
Mambo No 5;52;162213;0.337;0.816;0.41600000000000004;5;0.0452;0;0.244;90.148;4;0.8170000000000001
De MÃºsica Ligera;51;212893;0.00487;0.542;0.7140000000000001;2;0.33399999999999996;1;0.027999999999999997;124.26;4;0.76
Macarena;62;249506;0.42200000000000004;0.927;0.721;8;0.0422;1;0.0908;10.301.799.999.999.900;4;0.965
La Bamba;57;172733;0.0699;0.348;0.7509999999999999;0;0.20800000000000002;1;0.0494;156.509;4;0.8859999999999999
Querida;4;319560;0.318;0.522;0.526;2;0.11599999999999999;1;0.0259;90.02;4;0.43
Maria Maria - Radio Mix;56;262160;0.0485;0.779;0.631;2;0.0349;1;0.115;97.927;4;0.6629999999999999
La ingrata;65;212000;0.0854;0.748;0.835;7;0.0365;1;0.0351;142.942;4;0.8959999999999999
CorazÃ³n partio;74;343413;0.19899999999999998;0.648;0.846;0;0.0803;1;0.0424;160.075;4;0.815
I Know You Want Me (Calle Ocho);7;238680;0.0151;0.815;0.757;2;0.187;1;0.165;127.052;4;0.8109999999999999
Livin' la Vida Loca;73;243160;0.00411;0.425;0.9540000000000001;1;0.0555;0;0.0476;178.043;4;0.9329999999999999
RebeliÃ³n;43;378373;0.11199999999999999;0.5589999999999999;0.73;10;0.263;0;0.0639;106.806;4;0.778
La Maza;58;351400;0.652;0.555;0.331;9;0.235;0;0.27;17.060.299.999.999.900;3;0.43700000000000006
Amor Eterno;59;408440;0.445;0.301;0.335;0;0.7509999999999999;1;0.0303;17.659.099.999.999.900;4;0.386
Besame Mucho;7;181960;0.701;0.7070000000000001;0.408;5;0.105;0;0.0366;126.399;4;0.843
Mais Que Nada;52;159466;0.491;0.66;0.504;0;0.15;0;0.0496;8.895.299.999.999.990;4;0.914
El Cantante;58;622520;0.42200000000000004;0.489;0.679;7;0.13;0;0.0326;9.581.299.999.999.990;4;0.6579999999999999
Chan Chan;7;257213;0.83;0.507;0.423;2;0.0973;0;0.0332;82.809;4;0.701
Amigo;41;208866;0.259;0.613;0.489;11;0.0696;0;0.0503;145.278;4;0.898
